wordAmount,threadAmount,microSeconds
100000,3,1758
100000,3,1699
100000,3,1839
100000,4,1761
100000,4,1654
100000,4,1797
100000,4,1697
100000,4,1959
100000,4,1727
100000,4,1726
100000,4,1724
100000,4,1713
100000,4,1671
100000,4,1811
100000,4,1858
100000,4,1790
100000,4,2000
100000,4,1605
100000,4,1702
100000,4,1615
100000,4,1827
100000,4,1600
100000,4,1616
100000,5,1727
100000,5,1599
100000,5,1746
100000,5,1529
100000,5,1503
100000,5,1629
100000,5,1695
100000,5,1655
100000,5,1685
100000,5,1716
100000,5,1792
100000,5,1656
100000,5,1620
100000,5,1721
100000,5,1668
100000,5,3575
100000,5,1850
100000,5,2016
100000,5,1958
100000,5,1606
100000,6,1576
100000,6,1714
100000,6,2113
100000,6,1834
100000,6,1714
100000,6,2011
100000,6,2514
100000,6,1799
100000,6,2338
100000,6,2043
100000,6,1975
100000,6,1977
100000,6,1541
100000,6,1644
100000,6,1906
100000,6,1888
100000,6,2023
100000,6,1948
100000,6,1732
100000,6,1725
100000,7,1976
100000,7,2084
100000,7,2392
100000,7,2127
100000,7,2048
100000,7,1845
100000,7,3508
100000,7,2046
100000,7,2433
100000,7,1680
100000,7,2060
100000,7,1860
100000,7,1716
100000,7,2049
100000,7,1997
100000,7,2277
100000,7,1744
100000,7,1883
100000,7,2239
100000,7,1846
100000,8,2116
100000,8,1724
100000,8,2457
100000,8,2314
100000,8,2215
100000,8,1966
100000,8,2332
100000,8,2032
100000,8,1958
100000,8,2507
100000,8,1742
100000,8,1860
100000,8,2257
100000,8,2000
100000,8,1938
100000,8,2618
100000,8,2306
100000,8,1987
100000,8,2031
100000,8,1985
100000,9,1948
100000,9,2176
100000,9,2270
100000,9,2273
100000,9,2352
100000,9,2056
100000,9,2307
100000,9,2293
100000,9,1826
100000,9,1654
100000,9,2484
100000,9,2058
100000,9,2119
100000,9,1957
100000,9,1953
100000,9,2312
100000,9,2173
100000,9,1810
100000,9,2359
100000,9,2276
100000,10,2441
100000,10,2761
100000,10,2481
100000,10,2602
100000,10,2163
100000,10,2176
100000,10,3685
100000,10,2993
100000,10,2254
100000,10,2121
100000,10,2693
100000,10,2296
100000,10,2660
100000,10,2493
100000,10,2228
100000,10,2542
100000,10,2590
100000,10,2409
100000,10,2009
100000,10,2686
100000,11,2442
100000,11,2244
100000,11,2663
100000,11,3032
100000,11,2855
100000,11,2130
100000,11,2319
100000,11,2381
100000,11,2625
100000,11,2258
100000,11,2977
100000,11,1966
100000,11,2154
100000,11,2315
100000,11,2876
100000,11,2855
100000,11,3639
100000,11,3315
100000,11,3136
100000,11,2178
100000,12,4574
100000,12,2588
100000,12,2853
100000,12,2622
100000,12,11391
100000,12,3659
100000,12,2587
100000,12,3146
100000,12,2569
100000,12,2435
100000,12,2557
100000,12,2338
100000,12,2808
100000,12,3061
100000,12,2497
100000,12,2497
100000,12,2930
100000,12,2023
100000,12,2661
100000,12,2657
100000,13,3555
100000,13,3337
100000,13,2839
100000,13,4446
100000,13,3654
100000,13,3990
100000,13,2788
100000,13,3376
100000,13,3090
100000,13,2583
100000,13,3630
100000,13,6539
100000,13,2550
100000,13,4031
100000,13,2814
100000,13,3018
100000,13,2563
100000,13,3171
100000,13,2921
100000,13,3376
100000,14,3138
100000,14,2641
100000,14,2892
100000,14,2683
100000,14,131763
100000,14,3797
100000,14,3666
100000,14,2941
100000,14,2985
100000,14,2793
100000,14,3559
100000,14,4105
100000,14,3172
100000,14,2815
100000,14,2834
100000,14,2639
100000,14,7450
100000,14,2768
100000,14,9339
100000,14,2708
100000,15,3032
100000,15,2894
100000,15,3358
100000,15,3224
100000,15,3899
100000,15,3176
100000,15,4089
100000,15,3773
100000,15,3588
100000,15,2787
100000,15,2548
100000,15,3196
100000,15,2365
100000,15,2534
100000,15,3246
100000,15,3138
100000,15,3223
100000,15,3770
100000,15,4128
100000,15,3394
100000,16,3842
100000,16,3018
100000,16,3481
100000,16,3805
100000,16,3176
100000,16,3041
100000,16,3224
